1186927465966587904,rmassimo30,RT @KMbappe: 🎩⚽️⚽️⚽️🎯 @ChampionsLeague https://t.co/oMNVMlVfJO
1184767579556139008,rmassimo30,RT @VfB: Catch me if you can! 🏃‍♂️😤 

#VfB https://t.co/xtEY1luBih
1183152853810139138,rmassimo30,RT @VfB: Happy Birthday, Roberto!🎉Unser Offensivspieler feiert heute seinen 19. Geburtstag. #VfB #Massimo https://t.co/dqeTxdb2C3
1183152777146576896,rmassimo30,@VfB Danke🙏🏾 @VfB
1182677958500196352,rmassimo30,RT @VfB: Spielende. Der #VfB gewinnt das Testspiel gegen den @FCSG_1879, das aus organisatorischen Gründen unter Ausschluss der Öffentlichk…
1181675875663843329,rmassimo30,Good training session @VfB https://t.co/oysQtOuE5t
1180962212904607744,rmassimo30,RT @jungundwild: "Durch den Doppelwechsel haben wir Mentalität und Leben auf den Platz gebracht und drehen das Spiel in fünf Minuten. Ich b…
1180568060366934016,rmassimo30,We’ll bounce back🔥 @VfB https://t.co/Qq7kGqCGzH
1176552383599579137,rmassimo30,RT @VfB: TEAM ⚪️🔴

#VfB https://t.co/WcIsP3SMZX
1176048941617602560,rmassimo30,RT @jungundwild: Souveräner Heimsieg für die #VfBU21 gegen den SV Linx. Die Tore beim 6:0 erzielen Mateo Klimowicz, Florian Kleinhansl, Mar…
